Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Will Barton,SG,31,DEN,31,31,32.7,5.8,13.7,.427,2.4,6.5,.363,3.5,7.2,.484,.513,1.1,1.4,.773,0.6,4.5,5.1,4.2,0.9,0.5,1.9,1.5,15.1
Bol Bol,PF,22,DEN,13,0,5.9,1.1,2.0,.538,0.1,0.3,.250,1.0,1.7,.591,.558,0.2,0.4,.400,0.3,1.2,1.5,0.4,0.1,0.2,0.2,0.3,2.4
Facundo Campazzo,PG,30,DEN,34,3,21.9,2.2,5.6,.402,1.3,3.5,.358,1.0,2.0,.478,.516,1.1,1.4,.813,0.4,1.7,2.1,3.8,1.2,0.5,1.2,2.2,6.9
Vlatko Čančar,PF,24,DEN,14,1,10.9,1.6,2.8,.564,0.5,0.9,.583,1.1,1.9,.556,.654,0.6,0.9,.750,0.4,1.2,1.6,0.9,0.1,0.2,0.6,0.9,4.3
Petr Cornelie,PF,26,DEN,13,0,2.9,0.4,1.2,.333,0.1,0.6,.125,0.3,0.5,.571,.367,0.2,0.3,.750,0.5,0.5,1.1,0.2,0.1,0.1,0.3,0.5,1.1
PJ Dozier,SG,25,DEN,18,0,18.9,2.0,5.5,.364,0.8,2.7,.313,1.2,2.8,.412,.439,0.6,0.7,.769,0.8,2.7,3.5,1.6,0.6,0.3,0.7,1.8,5.4
Aaron Gordon,PF,26,DEN,32,32,32.0,5.4,10.4,.521,1.0,3.0,.333,4.4,7.4,.597,.569,2.3,3.2,.706,1.8,3.8,5.6,2.2,0.7,0.7,1.6,1.9,14.1
JaMychal Green,PF,31,DEN,31,4,14.5,2.0,4.8,.419,0.6,2.3,.254,1.4,2.5,.571,.480,1.0,1.2,.842,0.9,2.7,3.5,0.8,0.7,0.4,1.0,2.2,5.6
Jeff Green,C,35,DEN,33,24,25.1,3.4,6.9,.493,0.8,2.4,.333,2.6,4.6,.576,.550,2.0,2.5,.805,0.5,2.6,3.1,1.2,0.3,0.5,1.0,2.3,9.6
Markus Howard,SG,22,DEN,16,0,7.3,1.4,3.9,.355,1.1,2.9,.391,0.3,1.0,.250,.500,0.4,0.5,.875,0.0,0.3,0.3,0.3,0.4,0.0,0.4,0.7,4.3
Bones Hyland,PG,21,DEN,25,0,17.1,2.9,7.8,.369,1.5,4.8,.317,1.4,3.0,.453,.467,1.1,1.3,.875,0.2,1.8,2.0,1.6,0.6,0.2,1.0,2.0,8.4
Nikola Jokić,C,26,DEN,30,30,32.5,10.1,17.9,.563,1.5,4.3,.349,8.6,13.6,.631,.605,4.1,5.3,.774,2.6,11.3,14.0,6.9,1.4,0.8,3.7,2.5,25.7
Carlik Jones,PG,24,DEN,2,0,2.0,0.5,1.0,.500,0.0,0.0,0,0.5,1.0,.500,.500,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Monte Morris,PG,26,DEN,32,32,30.0,5.2,10.9,.479,1.6,4.3,.380,3.6,6.6,.542,.553,0.6,0.7,.783,0.3,2.5,2.8,4.3,0.7,0.2,1.2,1.5,12.6
Zeke Nnaji,PF,21,DEN,20,0,14.9,2.1,4.5,.456,1.0,2.1,.452,1.1,2.4,.458,.561,1.0,1.6,.613,0.9,2.1,3.0,0.4,0.2,0.3,0.4,1.6,6.0
Michael Porter Jr.,SF,23,DEN,9,9,29.4,4.1,11.4,.359,1.1,5.3,.208,3.0,6.1,.491,.408,0.6,1.0,.556,1.0,5.6,6.6,1.9,1.1,0.2,1.3,1.8,9.9
Davon Reed,SG,26,DEN,11,2,17.7,1.8,3.9,.465,0.6,1.7,.368,1.2,2.2,.542,.547,0.4,0.5,.800,0.5,2.7,3.3,1.5,1.2,0.2,0.4,1.8,4.6
Austin Rivers,SG,29,DEN,25,7,19.7,2.0,5.3,.371,1.0,3.4,.310,0.9,1.9,.479,.470,0.3,0.5,.583,0.4,1.3,1.7,1.1,0.4,0.1,0.7,1.4,5.2
Rayjon Tucker,SG,24,DEN,2,0,13.0,0.5,0.5,1.000,0.5,0.5,1.000,0.0,0.0,0,1.500,1.5,2.0,.750,0.5,1.0,1.5,0.5,0.5,0.0,0.0,1.0,3.0
